"Freq [GHz]","dB(S(SMA_conn_CS_2_1_1,SMA_conn_CS_2_1_1)) []","dB(S(SMA_conn_CS_2_2_1,SMA_conn_CS_2_1_1)) []"
8.12,-6.36662077186863,-2.65440873173606
8.14,-6.24794639552589,-2.70480594200158
8.16,-6.13484113154924,-2.75437634955415
8.18,-6.02706543790463,-2.80305732469904
8.2,-5.92439535162897,-2.85078861082585
8.22,-5.82662144303733,-2.897512341277
8.24,-5.73354787315956,-2.9431730505492
8.26,-5.64499154242467,-2.98771768074574
8.28,-5.56078132033388,-3.03109558414604
8.3,-5.48075734731436,-3.07325852270692
8.32,-5.40477040117166,-3.11416066525442
8.34,-5.33268132159776,-3.15375858307182
8.36,-5.26436048707474,-3.19201124453414
8.38,-5.19968733926547,-3.22888000938748
8.4,-5.13854995062618,-3.26432862321952
8.42,-5.08084463152552,-3.29832321261798
8.44,-5.02647557362858,-3.33083228146681
8.46,-4.97535452671109,-3.36182670878373
8.48,-4.92740050642216,-3.39127974846119
8.5,-4.88253953081824,-3.41916703123068
8.52,-4.84070438375697,-3.44546656913342
8.54,-4.80183440347011,-3.47015876274269
8.56,-4.76587529483698,-3.49322641135002
8.58,-4.73277896405659,-3.51465472629301
8.6,-4.70250337457139,-3.53443134757265
8.62,-4.6750124232324,-3.55254636387626
8.64,-4.65027583581493,-3.5689923360926
8.66,-4.62826908109974,-3.58376432437715
8.68,-4.60897330282705,-3.59685991879372
8.7,-4.59237526891212,-3.60827927353093
8.72,-4.57846733738187,-3.61802514465845
8.74,-4.56724743855345,-3.62610293135653
8.76,-4.55871907302817,-3.63252072051748
8.78,-4.55289132511854,-3.6372893345797
8.8,-4.54977889136262,-3.64042238241577
8.82,-4.54940212380841,-3.64193631305161
8.84,-4.55178708777261,-3.64185047194646
8.86,-4.55696563379131,-3.64018715951109
8.88,-4.56497548348705,-3.63697169148485
8.9,-4.57586032907481,-3.63223246072938
8.92,-4.58966994622055,-3.62600099992941
8.94,-4.60646031994885,-3.61831204461606
8.96,-4.62629378327046,-3.60920359584884
8.98,-4.64923916816665,-3.59871698180548
9,-4.67537196852418,-3.58689691743626
9.02,-4.70477451456229,-3.57379156124136
9.04,-4.73753615823078,-3.55945256812556
9.06,-4.7737534689862,-3.54393513717616
9.08,-4.81353043926966,-3.52729805309857
9.1,-4.85697869891534,-3.50960371992829
9.12,-4.9042177376122,-3.49091818552503
9.14,-4.95537513442111,-3.47131115523959
9.16,-5.01058679321569,-3.45085599303704
9.18,-5.06999718276366,-3.42962970825632
9.2,-5.13375957999641,-3.40771292609779
9.22,-5.20203631482141,-3.38518983985222
9.24,-5.27499901461246,-3.362148142831
9.26,-5.35282884625775,-3.33867893792355
9.28,-5.43571675334615,-3.31487662270765
9.3,-5.52386368571482,-3.2908387480714
9.32,-5.61748081814612,-3.26666584838085
9.34,-5.71678975446532,-3.24246124134933
9.36,-5.82202271261648,-3.21833079593945
9.38,-5.93342268543708,-3.19438266686031
9.4,-6.05124357074914,-3.1707269945175
9.42,-6.175750262954,-3.14747556963112
9.44,-6.30721869644841,-3.1247414621633
9.46,-6.4459358287267,-3.10263861468755
9.48,-6.59219954780439,-3.0812814008878
9.5,-6.74631848434184,-3.06078415048896
9.52,-6.90861170322891,-3.04126064258589
9.54,-7.07940824198165,-3.0228235700433
9.56,-7.25904645352991,-3.00558397837135
9.58,-7.44787309810021,-2.98965068322344
9.6,-7.64624211195644,-2.97512967139592
9.62,-7.85451295849533,-2.96212349091048
9.64,-8.07304843798003,-2.95073063640664
9.66,-8.30221179393826,-2.94104493663981
9.68,-8.54236290427071,-2.93315495134404
9.7,-8.79385328001815,-2.92714338505639
9.72,-9.05701951029059,-2.92308652568959
9.74,-9.33217468292442,-2.92105371566427
9.76,-9.61959717096906,-2.92110686325834
9.78,-9.91951599848288,-2.92330000149324
9.8,-10.2320917788983,-2.92767890135072
9.82,-10.5573919508817,-2.93428074540963
9.84,-10.8953587210009,-2.94313386711972
9.86,-11.2457677721218,-2.95425755990974
9.88,-11.6081754464924,-2.9676619591874
9.9,-11.9818518391867,-2.9833479990581
9.92,-12.3656971869243,-3.00130744430547
9.94,-12.7581393660897,-3.02152299687647
9.96,-13.1570116411868,-3.04396847483492
9.98,-13.5594126590522,-3.06860906052961
10,-13.9615559000454,-3.09540161359889
